Protein,KO,Description
PN96_RS06175,,
PN96_RS03970,K01658,trpG; anthranilate synthase component II [EC:4.1.3.27]
PN96_RS04225,K03406,mcp; methyl-accepting chemotaxis protein
PN96_RS20915,K07160,pxpA; 5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]
PN96_RS05430,K01659,prpC; 2-methylcitrate synthase [EC:2.3.3.5]
PN96_RS20885,K01921,ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]
PN96_RS20935,K02004,ABC.CD.P; putative ABC transport system permease protein
PN96_RS10885,K02049,ABC.SN.A; NitT/TauT family transport system ATP-binding protein
PN96_RS06920,K02233,"E2.7.8.26, cobS, cobV; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]"
PN96_RS22100,,
PN96_RS13980,K03182,ubiD; 4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]
PN96_RS21255,,
PN96_RS12665,K13256,psiE; protein PsiE
PN96_RS04295,K01665,pabB; para-aminobenzoate synthetase component I [EC:2.6.1.85]
PN96_RS08530,K10023,aotM; arginine/ornithine transport system permease protein
PN96_RS07195,K06518,cidA; holin-like protein
PN96_RS09315,K01433,purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]
PN96_RS10690,K03074,secF; preprotein translocase subunit SecF
PN96_RS07435,K16012,"cydC; ATP-binding cassette, subfamily C, bacterial CydC"
PN96_RS15775,,
PN96_RS00365,,
PN96_RS05620,,
PN96_RS15950,,
PN96_RS11085,K08311,nudH; putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
PN96_RS13610,K04042,glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]
PN96_RS20140,K07679,"evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]"
PN96_RS22475,K00302,"soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]"
PN96_RS04720,,
PN96_RS12455,,
PN96_RS16590,,
PN96_RS16425,K10125,"dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB [EC:2.7.13.3]"
PN96_RS10245,K14652,"ribBA; 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]"
PN96_RS00785,K08306,mltC; peptidoglycan lytic transglycosylase C [EC:4.2.2.29]
PN96_RS05825,K00407,ccoQ; cytochrome c oxidase cbb3-type subunit IV
PN96_RS04700,,
PN96_RS23065,,
PN96_RS08660,,
PN96_RS15175,K00390,cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
PN96_RS23255,K03316,"nhaP, nhaS1, nhaS2; Na+:H+ antiporter"
PN96_RS23475,K13993,HSP20; HSP20 family protein
PN96_RS03050,K03442,mscS; small conductance mechanosensitive channel
PN96_RS15260,K00799,"GST, gst; glutathione S-transferase [EC:2.5.1.18]"
PN96_RS08230,K03640,pal; peptidoglycan-associated lipoprotein
PN96_RS07830,,
PN96_RS08385,K07343,tfoX; DNA transformation protein and related proteins
PN96_RS03655,,
PN96_RS09610,,
PN96_RS06775,K00457,"HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]"
PN96_RS02280,K06175,truC; tRNA pseudouridine65 synthase [EC:5.4.99.26]
PN96_RS06035,K05812,"DTWD2, tapT; tRNA-uridine aminocarboxypropyltransferase [EC:2.5.1.25]"
PN96_RS19590,K03704,cspA; cold shock protein
PN96_RS11985,K00956,cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
PN96_RS18675,,
PN96_RS08200,,
PN96_RS05860,K14055,uspE; universal stress protein E
PN96_RS11960,K02004,ABC.CD.P; putative ABC transport system permease protein
PN96_RS18295,,
PN96_RS00600,,
PN96_RS24205,,
PN96_RS01995,K01126,"E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]"
PN96_RS14185,K03110,ftsY; fused signal recognition particle receptor
PN96_RS10725,K01637,"ICL, aceA; isocitrate/methylisocitrate lyase [EC:4.1.3.1 4.1.3.30]"
PN96_RS12285,,
PN96_RS15555,K00101,lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
PN96_RS16735,,
PN96_RS00045,,
PN96_RS10305,K06987,K06987; uncharacterized protein
PN96_RS03795,,
PN96_RS09650,K02777,crr; sugar PTS system EIIA component [EC:2.7.1.-]
PN96_RS22050,K06605,iolH; myo-inositol catabolism protein IolH
PN96_RS15045,K02663,pilN; type IV pilus assembly protein PilN
PN96_RS05685,K00254,"DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]"
PN96_RS12535,K02527,"kdtA, waaA; 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]"
PN96_RS08750,,
PN96_RS05610,K01626,"E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
PN96_RS20735,K21636,nrdD; ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]
PN96_RS05155,,
PN96_RS11870,,
PN96_RS03490,K00876,"udk, UCK; uridine kinase [EC:2.7.1.48]"
PN96_RS20890,,
PN96_RS18380,K15034,yaeJ; ribosome-associated protein
PN96_RS12860,K02455,gspF; general secretion pathway protein F
PN96_RS19775,,
PN96_RS16620,K15977,K15977; putative oxidoreductase
PN96_RS10810,K08303,"prtC, trhP; U32 family peptidase [EC:3.4.-.-]"
PN96_RS06955,,
PN96_RS18025,,
PN96_RS08765,K11076,"potG, spuF; putrescine transport system ATP-binding protein [EC:7.6.2.16]"
PN96_RS19640,K03612,rnfG; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G
PN96_RS20445,K24955,ooxB; octopine oxidase subunit B
PN96_RS22755,,
PN96_RS02295,K01265,map; methionyl aminopeptidase [EC:3.4.11.18]
PN96_RS16145,K18581,ugl; unsaturated chondroitin disaccharide hydrolase [EC:3.2.1.180]
PN96_RS17830,K13481,xdhA; xanthine dehydrogenase small subunit [EC:1.17.1.4]
PN96_RS17290,K14645,K14645; serine protease [EC:3.4.21.-]
PN96_RS02460,K11175,purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
PN96_RS11755,K01649,"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]"
PN96_RS05105,,
PN96_RS05920,,
PN96_RS20340,K02034,ABC.PE.P1; peptide/nickel transport system permease protein
PN96_RS02155,K00348,nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]
PN96_RS21270,,
PN96_RS06620,K02024,lamB; maltoporin
PN96_RS03630,K00873,"PK, pyk; pyruvate kinase [EC:2.7.1.40]"
PN96_RS08035,K03634,lolA; outer membrane lipoprotein carrier protein
PN96_RS14540,,
PN96_RS16705,K06177,rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]
PN96_RS20095,K08177,"oxlT; MFS transporter, OFA family, oxalate/formate antiporter"
PN96_RS05025,K09972,"aapP, bztD; general L-amino acid transport system ATP-binding protein [EC:7.4.2.1]"
PN96_RS04640,,
PN96_RS17520,,
PN96_RS12820,K02463,gspN; general secretion pathway protein N
PN96_RS10710,K07568,queA; S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]
PN96_RS18240,,
PN96_RS13555,K03496,"parA, soj; chromosome partitioning protein"
PN96_RS02010,K09918,K09918; uncharacterized protein
PN96_RS07720,,
PN96_RS12800,,
PN96_RS18805,K25282,"yclQ, ceuA; iron-siderophore transport system substrate-binding protein"
PN96_RS12465,K09689,kpsT; capsular polysaccharide transport system ATP-binding protein [EC:7.6.2.12]
PN96_RS20325,K02028,ABC.PA.A; polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
PN96_RS11245,K00265,gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]
PN96_RS01115,K00991,ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
PN96_RS19060,K22130,otnC; 3-dehydro-4-phosphotetronate decarboxylase [EC:4.1.1.104]
PN96_RS01300,K02860,rimM; 16S rRNA processing protein RimM
PN96_RS10795,K07657,"phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB"
PN96_RS02500,K01423,bepA; beta-barrel assembly-enhancing protease [EC:3.4.-.-]
PN96_RS20640,,
PN96_RS19135,,
PN96_RS00620,K02339,holC; DNA polymerase III subunit chi [EC:2.7.7.7]
PN96_RS24085,K07497,K07497; putative transposase
PN96_RS04690,K25590,epsF; protein tyrosine kinase modulator
PN96_RS22095,K00382,"DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]"
PN96_RS03750,K08357,ttrA; tetrathionate reductase subunit A
PN96_RS09560,,
PN96_RS21090,K11927,rhlE; ATP-dependent RNA helicase RhlE [EC:5.6.2.7]
PN96_RS18640,,
PN96_RS00050,K00075,murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
PN96_RS14060,K06202,cyaY; iron-sulfur cluster assembly protein CyaY
PN96_RS18265,,
PN96_RS03905,K09780,K09780; uncharacterized protein
PN96_RS17500,,
PN96_RS06725,,
PN96_RS07815,K02069,"STAR2, fetB; UDP-glucose/iron transport system permease protein"
PN96_RS16810,K19000,rof; Rho-binding antiterminator
PN96_RS03620,,
PN96_RS10225,K01095,pgpA; phosphatidylglycerophosphatase A [EC:3.1.3.27]
PN96_RS24035,K07497,K07497; putative transposase
PN96_RS17455,K04033,"eutR; AraC family transcriptional regulator, ethanolamine operon transcriptional activator"
PN96_RS18525,,
PN96_RS07295,K06377,spo0M; sporulation-control protein
PN96_RS11390,K03586,ftsL; cell division protein FtsL
PN96_RS12505,,
PN96_RS14995,K01595,ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
PN96_RS23070,,
PN96_RS11795,K00097,pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
PN96_RS03895,K00549,metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
PN96_RS12840,K02459,gspJ; general secretion pathway protein J
PN96_RS23560,,
PN96_RS11125,K07462,recJ; single-stranded-DNA-specific exonuclease [EC:3.1.-.-]
PN96_RS23445,K06889,K06889; uncharacterized protein
PN96_RS18320,K02567,napA; nitrate reductase (cytochrome) [EC:1.9.6.1]
PN96_RS03460,K03611,dsbB; protein dithiol:quinone oxidoreductase [EC:1.8.5.9]
PN96_RS09070,K03530,hupB; DNA-binding protein HU-beta
PN96_RS12520,K03274,"gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]"
PN96_RS18910,K02609,"paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]"
PN96_RS20110,K03744,lemA; LemA protein
PN96_RS10365,K08084,fimT; type IV fimbrial biogenesis protein FimT
PN96_RS12215,K09892,zapB; cell division protein ZapB
PN96_RS17650,,
PN96_RS08410,K00975,glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
PN96_RS05700,,
PN96_RS20320,K02029,ABC.PA.P; polar amino acid transport system permease protein
PN96_RS01595,K18989,vexF; multidrug efflux pump
PN96_RS01455,K07001,K07001; NTE family protein
PN96_RS02320,K00806,uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]
PN96_RS00990,,
PN96_RS03315,K03616,rnfB; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.1.1.11 7.2.1.2]
PN96_RS17715,,
PN96_RS21830,K00879,fucK; L-fuculokinase [EC:2.7.1.51]
PN96_RS15405,K02036,pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]
PN96_RS14835,,
PN96_RS15610,,
PN96_RS19820,,
PN96_RS01610,,
PN96_RS05900,K11069,potD; spermidine/putrescine transport system substrate-binding protein
PN96_RS10505,,
PN96_RS11205,K12524,thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]
PN96_RS22940,K02276,"coxC, ctaE; cytochrome c oxidase subunit III [EC:7.1.1.9]"
PN96_RS03055,K01077,"E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]"
PN96_RS12560,K00901,"dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]"
PN96_RS20995,,
PN96_RS12765,K07659,"ompR; two-component system, OmpR family, phosphate regulon response regulator OmpR"
PN96_RS00375,K10927,mshD; MSHA pilin protein MshD
PN96_RS00085,K02358,"tuf, TUFM; elongation factor Tu"
PN96_RS07905,K00765,hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]
PN96_RS21420,K00627,"DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]"
PN96_RS14490,K07640,"cpxA; two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]"
PN96_RS21340,K09796,pccA; periplasmic copper chaperone A
PN96_RS21860,K05568,"mnhD, mrpD; multicomponent Na+:H+ antiporter subunit D"
PN96_RS22910,,
PN96_RS03925,K15850,"luxN; two-component system, autoinducer 1 sensor kinase/phosphatase LuxN [EC:2.7.13.3 3.1.3.-]"
PN96_RS20185,K07090,K07090; uncharacterized protein
PN96_RS11780,K05801,djlA; DnaJ like chaperone protein
PN96_RS05100,K07250,gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
PN96_RS19410,,
PN96_RS06170,,
PN96_RS22340,K07255,tauX; taurine dehydrogenase small subunit [EC:1.4.2.-]
PN96_RS02400,,
PN96_RS15325,K10829,fhuC; ferric hydroxamate transport system ATP-binding protein [EC:7.2.2.16]
PN96_RS03440,K01187,malZ; alpha-glucosidase [EC:3.2.1.20]
PN96_RS03825,,
PN96_RS10455,K02855,"rhaS; AraC family transcriptional regulator, L-rhamnose operon regulatory protein RhaS"
PN96_RS15690,,
PN96_RS05585,K09970,"aapQ, bztB; general L-amino acid transport system permease protein"
PN96_RS17750,K15269,pecM; probable blue pigment (indigoidine) exporter
PN96_RS14525,K04077,"groEL, HSPD1; chaperonin GroEL [EC:5.6.1.7]"
PN96_RS08550,,
PN96_RS21205,K02770,fruA; fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]
PN96_RS18630,K01451,hipO; hippurate hydrolase [EC:3.5.1.32]
PN96_RS06860,K07043,upp; UTP pyrophosphatase [EC:3.6.1.-]
PN96_RS03545,K00648,fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
PN96_RS00455,K00018,hprA; glycerate dehydrogenase [EC:1.1.1.29]
PN96_RS11385,K03587,ftsI; cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]
PN96_RS23285,,
PN96_RS18875,K12541,"lapB; ATP-binding cassette, subfamily C, bacterial LapB"
PN96_RS19605,K02585,nifB; nitrogen fixation protein NifB
PN96_RS22965,,
PN96_RS00040,K00998,pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
PN96_RS22505,K07250,gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
PN96_RS22730,,
PN96_RS08815,,
PN96_RS19990,,
PN96_RS06995,,
PN96_RS08225,,
PN96_RS18690,K15737,csiD; glutarate dioxygenase [EC:1.14.11.64]
PN96_RS20160,,
PN96_RS04920,,
PN96_RS00530,K02066,"mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein"
PN96_RS20630,,
PN96_RS12995,K02335,polA; DNA polymerase I [EC:2.7.7.7]
PN96_RS21490,K03307,"TC.SSS; solute:Na+ symporter, SSS family"
PN96_RS16775,K01625,eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
PN96_RS00325,K12281,mshK; MSHA biogenesis protein MshK
PN96_RS01045,K03100,lepB; signal peptidase I [EC:3.4.21.89]
PN96_RS16270,K01785,"galM, GALM; aldose 1-epimerase [EC:5.1.3.3]"
PN96_RS21075,,
PN96_RS23330,,
PN96_RS02620,K10941,"flrA, fleQ, flaK; sigma-54 dependent transcriptional regulator, flagellar regulatory protein"
PN96_RS21080,,
PN96_RS04735,,
PN96_RS21975,K00528,fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
PN96_RS11425,,
PN96_RS14470,K07791,dcuA; anaerobic C4-dicarboxylate transporter DcuA
PN96_RS17180,K13590,dgcB; diguanylate cyclase [EC:2.7.7.65]
PN96_RS19500,K02594,nifV; homocitrate synthase NifV [EC:2.3.3.14]
PN96_RS09435,K01835,pgm; phosphoglucomutase [EC:5.4.2.2]
PN96_RS13075,K06148,"ABCC-BAC; ATP-binding cassette, subfamily C, bacterial"
PN96_RS02515,K03564,"BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]"
PN96_RS06115,K03451,"TC.BCT; betaine/carnitine transporter, BCCT family"
PN96_RS10145,K06879,queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]
PN96_RS05380,K21405,"acoR; sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR"
PN96_RS08335,K00154,E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
PN96_RS06365,K05712,mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]
PN96_RS07800,K07811,torA; trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]
PN96_RS02095,K05517,tsx; nucleoside-specific channel-forming protein
PN96_RS22830,K21430,yliI; aldose sugar dehydrogenase [EC:1.1.5.-]
PN96_RS05200,,
PN96_RS17525,,
PN96_RS01410,K01918,panC; pantoate--beta-alanine ligase [EC:6.3.2.1]
PN96_RS04740,,
PN96_RS06330,K05818,"mhpR; IclR family transcriptional regulator, mhp operon transcriptional activator"
PN96_RS05690,K18657,zapC; cell division protein ZapC
PN96_RS19265,,
PN96_RS16375,,
PN96_RS18275,K03074,secF; preprotein translocase subunit SecF
PN96_RS22695,K06889,K06889; uncharacterized protein
PN96_RS08460,K03704,cspA; cold shock protein
PN96_RS16815,,
PN96_RS09135,K17317,"gtsC, glcG; glucose/mannose transport system permease protein"
PN96_RS15130,K01810,"GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]"
PN96_RS05075,K09472,"puuC, aldH; 4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]"
PN96_RS00140,K01599,"hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37]"
PN96_RS12420,,
PN96_RS21510,,
PN96_RS07440,K01753,dsdA; D-serine dehydratase [EC:4.3.1.18]
PN96_RS21810,,
PN96_RS00615,K01873,"VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]"
PN96_RS03340,K10911,"luxU; two-component system, phosphorelay protein LuxU"
PN96_RS21585,,
PN96_RS01805,K04485,"radA, sms; DNA repair protein RadA/Sms"
PN96_RS14235,K00631,plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
PN96_RS05520,K06920,queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]
PN96_RS11040,K02968,"RP-S20, rpsT; small subunit ribosomal protein S20"
PN96_RS01420,K00950,folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
PN96_RS18375,K03406,mcp; methyl-accepting chemotaxis protein
PN96_RS13220,K00383,"GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]"
PN96_RS01310,K02884,"RP-L19, MRPL19, rplS; large subunit ribosomal protein L19"
PN96_RS16765,,
PN96_RS03700,,
PN96_RS04070,K13746,cansdh; carboxynorspermidine synthase [EC:1.5.1.43]
PN96_RS22800,,
PN96_RS01280,K03699,"tlyC; magnesium and cobalt exporter, CNNM family"
PN96_RS16685,,
PN96_RS01460,K01682,acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
PN96_RS17215,,
PN96_RS14230,K03179,ubiA; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
PN96_RS15465,,
PN96_RS03720,,
PN96_RS16785,,
PN96_RS23020,,
PN96_RS17355,K03286,"TC.OOP; OmpA-OmpF porin, OOP family"
PN96_RS10015,K06189,"corC, tlyC; hemolysin (HlyC) family protein"
PN96_RS00400,K03570,mreC; rod shape-determining protein MreC
PN96_RS01405,K01992,ABC-2.P; ABC-2 type transport system permease protein
PN96_RS15460,K03784,deoD; purine-nucleoside phosphorylase [EC:2.4.2.1]
PN96_RS12745,K00556,trmH; tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]
PN96_RS18130,K06213,mgtE; magnesium transporter
PN96_RS05665,,
PN96_RS15480,,
PN96_RS11685,K07106,murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]
PN96_RS09065,K03770,ppiD; peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]
PN96_RS16650,,
PN96_RS06165,,
PN96_RS19595,K15790,nifQ; nitrogen fixation protein NifQ
PN96_RS16030,K21699,"bauR; LysR family transcriptional regulator, transcriptional activator for bauABCD operon"
PN96_RS20495,K03924,moxR; MoxR-like ATPase [EC:3.6.3.-]
PN96_RS09380,K01902,sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
PN96_RS23240,,
PN96_RS09545,K07095,K07095; uncharacterized protein
PN96_RS02740,K03407,"cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"
PN96_RS20475,K06987,K06987; uncharacterized protein
PN96_RS11260,K00266,gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
PN96_RS12760,K07638,"envZ; two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]"
PN96_RS04580,,
PN96_RS04340,K14059,int; integrase
PN96_RS18880,K12542,"lapC; membrane fusion protein, adhesin transport system"
PN96_RS21760,K00626,"ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
PN96_RS11345,K03589,ftsQ; cell division protein FtsQ
PN96_RS10530,K03310,"TC.AGCS; alanine or glycine:cation symporter, AGCS family"
PN96_RS00805,,
PN96_RS12655,,
PN96_RS07250,K01193,"INV, sacA; beta-fructofuranosidase [EC:3.2.1.26]"
PN96_RS02825,K06076,fadL; long-chain fatty acid transport protein
PN96_RS17735,K19577,"ydhP; MFS transporter, DHA1 family, inner membrane transport protein"
PN96_RS03135,K02028,ABC.PA.A; polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
PN96_RS08430,K06077,slyB; outer membrane lipoprotein SlyB
PN96_RS14460,,
PN96_RS11225,K07773,"arcA; two-component system, OmpR family, aerobic respiration control protein ArcA"
PN96_RS14755,K03665,hflX; GTPase
PN96_RS05615,,
PN96_RS18955,K02615,"paaJ; 3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase [EC:2.3.1.223 2.3.1.174]"
PN96_RS03850,,
PN96_RS07130,K07729,K07729; putative transcriptional regulator
PN96_RS03290,K10773,"NTHL1, nth; endonuclease III [EC:3.2.2.- 4.2.99.18]"
PN96_RS11720,K01652,"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
PN96_RS22365,K09883,cobT; cobaltochelatase CobT [EC:6.6.1.2]
PN96_RS12065,K03076,secY; preprotein translocase subunit SecY
PN96_RS20555,,
PN96_RS12230,,
PN96_RS18535,K06889,K06889; uncharacterized protein
PN96_RS21675,,
PN96_RS05775,,
PN96_RS18200,K09915,K09915; uncharacterized protein
PN96_RS09630,K01738,cysK; cysteine synthase [EC:2.5.1.47]
PN96_RS08290,K01159,ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]
PN96_RS18810,K16089,"TC.FEV.OM2, cirA, cfrA, hmuR; outer membrane receptor for ferrienterochelin and colicins"
PN96_RS20510,,
PN96_RS04755,,
PN96_RS06290,K11962,urtD; urea transport system ATP-binding protein
PN96_RS18270,K03072,secD; preprotein translocase subunit SecD
PN96_RS06465,,
PN96_RS18890,,
PN96_RS16300,K15551,tauA; taurine transport system substrate-binding protein
PN96_RS04980,,
PN96_RS13465,K01176,"AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]"
PN96_RS24125,K03809,wrbA; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
PN96_RS22260,K02066,"mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein"
PN96_RS03745,,
PN96_RS00625,K01255,"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]"
PN96_RS09410,K00242,"sdhD, frdD; succinate dehydrogenase membrane anchor subunit"
PN96_RS13905,,
PN96_RS17765,K12573,"rnr, vacB; ribonuclease R [EC:3.1.13.1]"
